"e.g. ""Summer Holiday 2019 Offer 20""",مثال کے طور پر &quot;موسم گرما کی تعطیلات 2019 کی پیش کش 20&quot;,
unique e.g. SAVE20  To be used to get discount,انوکھا جیسے SAVE20 ڈسکاؤنٹ حاصل کرنے کے لئے استعمال کیا جائے,
{0} Coupon used are {1}. Allowed quantity is exhausted,used 0 used استعمال شدہ کوپن {1} ہیں۔ اجازت شدہ مقدار ختم ہوگئ,
Enter your email address,اپنا ای میل درج کریںCreate suppliers,فراہم کنندہ بنائں,
Created By,بنانے والا,
Creating...,بن رہا۔۔۔,
Accept Qty,مقدار قبول کریں,
Add Filter,فلٹر لگائں,
Add New Supplier,نیا سپلائر بنائں,
Create suppliers,فراہم کنندہ بنائں,
Add a new supplier to the system,سسٹم میں نیاسپلائر داخل کریں,
Please select a customer before adding items to the cart,برائے مہربانی اشیا کو ٹوکری میں ڈالنے سے پہلے خریدار منتخب کریں,
Add items to pay,ادائیگی کے لیے آئٹمز شامل کریں,
Add to Cart,ٹوکری میں شامل کریں,
Additional Discount,اضافی رعایت,
Against Name,نام کے خلاف,
All,تمام,
All Groups,تمام گروپس,
All orders have been received,تمام آرڈرز موصول ہو چکے ہیں,
Allocated {0} across {1} payment(s).,{0} کو {1} ادائیگیوں میں مختص کیا گیا,
Allocation amount for payment {0} exceeds outstanding invoices,ادائیگی کے لیے مختص رقم {0} بقایا رسیدوں سے زیادہ ہے,
Amount Due,بقایا رقم,
Amount exceeds POS Profile cash movement max amount.,رقم POS پروفائل نقدی موومنٹ کی زیادہ سے زیادہ رقم سے زیادہ ہ,
Amount must be greater than zero,رقم صفر سے زیادہ ہونی چاہیے,
Amount must be greater than zero.,رقم صفر سے زیادہ ہونی چاہیے,
Apply,لاگوکریں,
Apply For,کے لیے لاگو,
Apply For POS Profiles,POS پروفائلز کے لیے درخواست دیں۔,
Apply Type,لاگو کی قسم,
Are you sure you want to delete this draft?,کیا آپ واقعی اس مسودے کو ختم کرنا چاہتے ہیں؟,
At least one item is required,کم از کم ایک آئٹم درکار ہے,
Auto Apply,خودکار لاگو,
Auto-receive,خودکار وصول,
Available Programs,دستیاب پروگرام,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,بیک آفس نقدی اکاؤنٹ POS پروفائل کے ذریعے طے کیا جاتا ہے اور اسے تبدیل نہیں کیا جا سکتا,
Back Office Cash Account is required for cash deposit.,نقدی ڈپازٹ کے لیے بیک آفس نقدی اکاؤنٹ درکار ہے,
Back Office Cash Account must be a Cash account.,بیک آفس نقدی اکاؤنٹ ایک نقدی اکاؤنٹ ہونا چاہیے,
Back to Sign In,واپس سائن ان کریں,
Barcode,بارکوڈ,
Barcode Printer,بارکوڈ پرنٹر,
Barcode Structure,بارکوڈ کا ڈھانچہ,
Barcode Type,بارکوڈ کی قسم,
Barcode lookup failed,بارکوڈ تلاش کرنا ناکام ہوگیا,
Barcode {0} already exists.,بارکوڈ {0} پہلے ہی موجود ہے,
Barcodes,بارکوڈز,
Cancel,منسوخ کریں,
Cancelling submitted cash movements is disabled for this POS Profile.,اس POS پروفائل کے لیے جمع کرائی گئی نقدی موومنٹ کو منسوخ کرنا غیر فعال ہے,
Cannot add item to cart,آئٹم کو ٹوکری میں شامل نہیں کیا جا سکتا,
Cart,ٹوکری,
Cart is empty,ٹوکری خالی ہے,
Cash Deposit,نقدی جمع کرانا,
Cash Deposit is disabled for this POS Profile.,اس POS پروفائل کے لیے نقدی جمع کرانا غیر فعال ہے,
Cash Movement,نقدی کی نقل و حرکت,
Cash Movement is disabled for this POS Profile.,اس POS پروفائل کے لیے نقدی کی نقل و حرکت غیر فعال ہے,
Cash deposit recorded,نقدی ڈپازٹ ریکارڈ کر دیا گیا,
Cash movement is already cancelled,نقدی کی نقل و حرکت پہلے ہی منسوخ ہے,
Cash movement {0} not found,نقدی کی نقل و حرکت {0} نہیں ملی,
Change,بھان,
Change Given,بھان دی,
Check your email for reset instructions,دوبارہ ترتیب دینے کی ہدایات کے لیے اپنا ای میل چیک کریں,
Clear All,تمام صاف کریں,
Clear cart,ٹوکری صاف کریں,
Click on items to add them here,آئٹمز کو یہاں شامل کرنے کے لیے ان پر کلک کریں,
Click to change customer,گاہک کو تبدیل کرنے کے لیے کلک کریں,
Click to select customer,گاہک کو منتخب کرنے کے لیے کلک کریں,
Client Request ID,کلائنٹ کی درخواست کی شناخت,
Close,بند,
Close Shift,شفٹ بند کریں,
Closing,بند کرنا,
Closing...,بند ہو رہا ہے...,
Company is required,کمپنی کی ضرورت ہے,
Company is required.,کمپنی کی ضرورت ہے,
Company must match the selected POS Opening Shift company.,کمپنی کو منتخب کردہ POS اوپننگ شفٹ کمپنی سے مماثل ہونا چاہیے,
Company must match the selected POS Profile company.,کمپنی کو منتخب کردہ POS پروفائل کمپنی سے مماثل ہونا چاہیے,
Contact administrator to set up loyalty programs,لائلٹی پروگرام کو ترتیب دینے کے لیے ایڈمنسٹریٹر سے رابطہ کریں,
Context is required,سیاق و سباق درکار ہے,
Cost Center is not set in pos profile {0},پوز پروفائل میں لاگت کا مرکز سیٹ نہیں ہے {0},
Coupon,کوپن,
Coupon Based,کوپن پر مبنی,
Coupon has expired,کوپن کی میعاد ختم ہو گئی ہے,
Coupon is not valid for this customer,کوپن اس گاہک کے لیے درست نہیں ہے,
Coupon is not yet valid,کوپن ابھی تک درست نہیں ہے,
Create New Supplier,نیا سپلائر بنائیں,
Create Supplier,سپلائر بنائیں,
Create items,آئٹمز بنائیں,
Credit Note {0} has no remaining balance to allocate.,کریڈٹ نوٹ {0} کے پاس مختص کرنے کے لیے کوئی بقایا بیلنس نہیں ہے۔,
Credit note {0} is already fully allocated,کریڈٹ نوٹ {0} پہلے ہی مکمل طور پر مختص ہے۔,
Credit note {0} still has an unapplied balance of {1},کریڈٹ نوٹ {0} کے پاس اب بھی {1} کا غیر لاگو بیلنس ہے,
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",کرنسی درست نہیں ہے، پارٹی اکاؤنٹ کی کرنسی {party_account_currency} ہے اور لین دین کی کرنسی {currency} ہے,
Currency is required,کرنسی درکار ہے,
Customer already exists,گاہک پہلے ہی موجود ہے,
Customer is already enrolled in {0},گاہک پہلے ہی {0} میں اندراج شدہ ہے,
Customer is already enrolled in {0}. Please unenroll from the current program first.,گاہک پہلے ہی {0} میں اندراج شدہ ہے۔ براہ کرم پہلے موجودہ پروگرام سے اندراج ختم کریں۔,
Customer is not enrolled in any loyalty program,گاہک کسی بھی لائلٹی پروگرام میں اندراج نہیں کیا گیا ہے۔,
Customer is required to create an address,پتہ بنانے کے لیے گاہک کی ضرورت ہے,
Customer locked for return,گاہک کو واپسی کے لیے بند کر دیا گیا,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,گاہک کا مماثل نہیں: واپسی اسی گاہک ({0}) کے لیے ہونی چاہیے جس کی اصل رسید ہے,
Customer name is required,گاہک کا نام درکار ہے,
Customer {0} not found,گاہک {0} نہیں ملا,
"Customer, Company, Amount, and Mode of Payment are required",گاہک، کمپنی، رقم، اور ادائیگی کا طریقہ درکار ہے,
Date & Time,تاریخ اور وقت,
Default Loyalty Program,طے شدہ لائلٹی پروگرام,
Default Rate,طے شدہ شرح,
Default Rate is required,طے شدہ شرح درکار ہے,
Delete draft,مسودہ حذف کریں,
Deleting cancelled cash movements is disabled for this POS Profile.,منسوخ شدہ کیش موومنٹ کو حذف کرنا اس POS پروفائل کے لیے غیر فعال ہے,
Delivery Charges,ڈیلیوری چارجز,
Delivery Charges POS Profile,ڈیلیوری چارجز POS پروفائل,
Deposit,جمع,
Deposit To,جمع کروائیں,
Digits after decimal. Example: 1.000 => decimals 3.,اعشاریہ کے بعد ہندسے۔ مثال: 1.000 => اعشاریہ 3۔,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",اعشاریہ سے پہلے ہندسے۔ مثال: 1.000 کے لیے، 1 استعمال کریں (یا 2 اگر آپ کا پیمانہ 01.000 کو انکوڈ کرتا ہے)۔,
Discount,رعایت,
Discount %,رعایت ٪,
Discount amount,رعایت کی رقم,
Draft invoice deleted,انوائس کا مسودہ حذف کر دیا گیا,
Draft invoice restored to cart,ڈرافٹ انوائس کو کارٹ میں بحال کر دیا گیا,
Email,ای میل,
Email Address,ای میل ایڈریس,
Email Sent Successfully,ای میل کامیابی کے ساتھ بھیجی گئی,
Email address,ای میل ایڈریس,
Email or Username,ای میل یا صارف نام,
Enable only if barcode also contains price segment.,صرف اس صورت میں فعال کریں جب بارکوڈ میں قیمت کا حصہ بھی ہو,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",جب آپ کا بار کوڈ ایک مقررہ سابقہ ​​قدر (مثال کے طور پر، 331) کے ساتھ شروع ہوتا ہے تو اسے فعال کریں,
Enroll Customer,کسٹمر کا اندراج کریں,
Enrolled,اندراج,
Enrolling...,اندراج ہو رہا ہے...,
Enter coupon code...,کوپن کوڈ درج کریں...,
Enter reason for this transaction...,اس لین دین کی وجہ درج کریں...,
Enter supplier name,سپلائر کا نام لکھیں,
Enter the email address associated with your account,اپنے اکاؤنٹ سے وابستہ ای میل ایڈریس درج کریں,
Enter your email address,اپنا ای میل ایڈریس درج کریں,
Enter your email or username,اپنا ای میل یا صارف کا نام درج کریں,
Enter your email to receive a password reset link,پاس ورڈ دوبارہ ترتیب دینے کا لنک حاصل کرنے کے لیے اپنا ای میل درج کریں,
Enter your password,اپنا پاس ورڈ درج کریں,
Expected,متوقع,
Expense Account is required for expense entries.,اخراجات کے اندراجات کے لیے اخراجات کا اکاؤنٹ درکار ہے,
Expense account is required,اخراجات کا اکاؤنٹ درکار ہے,
Expense account is required for POS Expense.,POS اخراجات کے لیے اخراجات کا اکاؤنٹ درکار ہے,
Expense target account must match Expense Account.,اخراجات کے ہدف کا اکاؤنٹ اخراجات اکاؤنٹ سے مماثل ہونا چاہیے,
Expires,میعاد ختم,
Failed to create payment request: {0},ادائیگی کی درخواست بنانے میں ناکام: {0},
Failed to delete draft invoice,ڈرافٹ انوائس کو حذف کرنے میں ناکام,
Failed to fetch draft invoices,ڈرافٹ رسیدیں حاصل کرنے میں ناکام,
Failed to load draft invoice,ڈرافٹ انوائس لوڈ کرنے میں ناکام,
Failed to reconcile Credit Note {0}: {1},کریڈٹ نوٹ {0} کو ملانے میں ناکام: {1},
Failed to reconcile Journal Entry {0}: {1},جرنل انٹری کو ملانے میں ناکام {0}: {1},
Failed to reconcile Payment Entry {0}: {1},ادائیگی کے اندراج کو ملانے میں ناکام {0}: {1},
Failed to record cash movement,کیش موومنٹ ریکارڈ کرنے میں ناکام,
Failed to save draft: {0},مسودہ محفوظ کرنے میں ناکام: {0},
Failed to validate coupon,کوپن کی توثیق کرنے میں ناکام,
Final Customer Offer,حتمی گاہک آفر,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",تمام پیمانے کے بارکوڈز کی مقررہ ابتدائی قیمت (مثال کے طور پر، 331)۔ اگر سیٹ ہو، تو اس قدر سے شروع نہ ہونے والے بارکوڈز کو نظر انداز کر دیا جاتا ہے,
Forgot password?,پاس ورڈ بھول گئے؟,
Generate and print barcode labels for items,آئٹمز کے لیے بارکوڈ لیبل بنائیں اور پرنٹ کریں,
Generating...,بن رہا ہے...,
Give Item,آئٹم دیں,
Give Item Row ID,آئٹم قطار کی شناخت دیں,
Give Product,پروڈکٹ دیں,
Given Quantity,دی گئی مقدار,
In Transit,ٹرانزٹ میں,
In-Transit,ٹرانزٹ میں,
In-Transit Stock,ٹرانزٹ میں سٹاک,
Include QR Code,QR کوڈ شامل کریں۔,
Individual,انفرادی,
Invalid POS Opening Shift data provided.,غلط POS اوپننگ شفٹ ڈیٹا فراہم کیا گیا,
Invalid language code,غلط زبان کا کوڈ,
Invalid language code format: {0},غلط زبان کوڈ فارمیٹ: {0},
Invalid movement type for journal entry.,جرنل کے اندراج کے لیے نقل و حرکت کی غلط قسم,
Invalid movement type.,نقل و حرکت کی غلط قسم,
Invalid or already used coupon code,غلط یا پہلے سے استعمال شدہ کوپن کوڈ,
Invalid or expired coupon code,غلط یا میعاد ختم ہونے والا کوپن کوڈ,
Invalid payload for cash movement.,کیش موومنٹ کے لیے غلط پے لوڈ,
Invalid posting date.,پوسٹنگ کی غلط تاریخ,
Invalid {0} filter,غلط {0} فلٹر,
Invoice,رسید,
Invoice Amount,رسید کی رقم,
Invoice Currency,رسید کی کرنسی,
Invoice details,رسیدکی تفصیلات,
Invoice name is required for update,اپ ڈیٹ کے لیے رسید کا نام درکار ہے,
Invoice {0} Deleted,رسید {0} حذف کر دیا گیا,
Invoice {0} does not exist,رسید {0} موجود نہیں ہے,
Invoice {0} not found,رسید {0} نہیں ملا,
Item,آئٹم,
Item Code and Price List are required,آئٹم کوڈ اور قیمت کی فہرست درکار ہے,
Item Code is required,آئٹم کوڈ درکار ہے,
Item Discounts,آئٹم کی رعایت,
Item Price has been added or updated,آئٹم کی قیمت شامل یا اپ ڈیٹ کر دی گئی ہے,
Item Rate Should Less Then,آئٹم کی شرح پھر کم ہونی چاہیے,
Item code digits,آئٹم کوڈ کے ہندسے,
Item code is required.,آئٹم کوڈ درکار ہے,
Item code starting position,آئٹم کوڈ شروع کرنے کی پوزیشن,
Item {0} was not in the original invoice {1},آئٹم {0} اصل انوائس میں نہیں تھا {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",آئٹم {0}: {1} یونٹس واپس نہیں کر سکتے۔ واپسی کے لیے صرف {2} اکائیاں باقی ہیں (اصل: {3}، پہلے ہی واپس آ چکے ہیں: {4}),
"Item {0}: Cannot return {1}, maximum returnable is {2}",آئٹم {0}: {1} کو واپس نہیں کیا جا سکتا، زیادہ سے زیادہ قابل واپسی ہے {2},
Item {0}: Discount {1}% exceeds maximum allowed {2}%,آئٹم {0}: رعایت {1}% زیادہ سے زیادہ اجازت شدہ {2}% سے زیادہ ہے,
Item {0}: Quantity must be greater than zero,آئٹم {0}: مقدار صفر سے زیادہ ہونی چاہیے,
Item {0}: Rate cannot be negative,آئٹم {0}: شرح منفی نہیں ہو سکتی,
Journal Entry {0} has no unallocated amount remaining.,جرنل انٹری {0} میں کوئی غیر مختص رقم باقی نہیں ہے,
Label Size,لیبل کا سائز,
Large (60×40mm),بڑا (60×40mm),
Loading in-transit stock...,ٹرانزٹ اسٹاک لوڈ ہو رہا ہے...,
Loading pending orders...,زیر التواء آرڈرز لوڈ ہو رہے ہیں...,
Loading suppliers...,سپلائرز لوڈ ہو رہے ہیں...,
Loyalty,وفاداری,
Loyalty Information,وفاداری کی معلومات,
Loyalty Point,لائلٹی پوائنٹ,
Loyalty Point Scheme,لائلٹی پوائنٹ سکیم,
Loyalty Points Redeemed,لائلٹی پوائنٹس کو چھڑا لیا گیا,
Loyalty Program,لائلٹی پروگرام,
Loyalty Program is required,لائلٹی پروگرام درکار ہے,
Loyalty Program {0} not found,لائلٹی پروگرام {0} نہیں ملا,
Manage loyalty for,کے لیے وفاداری کا انتظام کریں,
Material transfers awaiting receipt at your warehouse,مواد کی منتقلی آپ کے گودام میں رسید کے منتظر ہے,
Max Quantity,زیادہ سے زیادہ مقدار,
Medium (50×30mm),درمیانہ (50×30mm),
Method,طریقہ,
Min Quantity,کم سے کم مقدار,
Missing Dependency,لاپتہ انحصار,
Mobile,موبائل,
Mobile NO,موبائل نمبر,
Movement Type,حرکت کی قسم,
Movement Type must be Expense or Deposit.,نقل و حرکت کی قسم خرچ یا جمع ہونا ضروری ہے,
No allocation made for credit note {0},کریڈٹ نوٹ کے لیے کوئی مختص نہیں کیا گیا {0},
No allocation made for payment {0},ادائیگی کے لیے کوئی مختص نہیں کیا گیا {0},
No allocation was recorded for Credit Note {0}.,کریڈٹ نوٹ {0} کے لیے کوئی مختص ریکارڈ نہیں کیا گیا,
No allocation was recorded for Journal Entry {0}.,جرنل انٹری {0} کے لیے کوئی مختص ریکارڈ نہیں کیا گیا,
No allocation was recorded for Payment Entry {0}.,ادائیگی کے اندراج کے لیے کوئی مختص ریکارڈ نہیں کیا گیا {0},
No allocations were made.,کوئی رقم مختص نہیں کی گئی,
No batches available in {0} for {1}.,{1} کے لیے {0} میں کوئی بیچ دستیاب نہیں,
No draft invoices found,کوئی مسودہ رسید نہیں ملا,
No groups found,کوئی گروپ نہیں ملا,
No in-transit stock,کوئی ان ٹرانزٹ اسٹاک نہیں ہے,
No items found,کوئی آئٹمز نہیں ملے,
No items in cart to save.,محفوظ کرنے کے لیے کارٹ میں کوئی آئٹم نہیں ہے,
No items selected,کوئی آئٹمز منتخب نہیں کیے گئے,
No items to invoice. Please ensure there are items on the Purchase Order.,انوائس کے لیے کوئی آئٹمز نہیں۔ براہ کرم یقینی بنائیں کہ پرچیز آرڈر پر آئٹمز موجود ہیں,
No items to receive.,وصول کرنے کے لیے کوئی آئٹمز نہیں,
No items to receive. Please enter received quantities.,وصول کرنے کے لیے کوئی آئٹمز نہیں۔ براہ کرم موصول شدہ مقدار درج کریں,
No items to return.,واپس کرنے کے لیے کوئی آئٹمز نہیں,
No loyalty programs available,کوئی لائلٹی پروگرام دستیاب نہیں ہے,
No matches found,کوئی مماثلت نہیں ملی,
No material transfers pending receipt,کوئی مادی منتقلی زیر التواء رسید نہیں ہے,
No open shift found. Please open a shift first.,کوئی کھلی شفٹ نہیں ملی۔ براہ کرم پہلے ایک شفٹ کھولیں,
No orders found,کوئی آرڈر نہیں ملا,
No outstanding invoices available for allocation of credit note {0},کریڈٹ نوٹ کی مختص کرنے کے لیے کوئی بقایا رسیدیں دستیاب نہیں ہیں {0},
No outstanding invoices available for allocation of payment {0},ادائیگی کے لیے کوئی بقایا رسیدیں دستیاب نہیں ہیں {0},
